"No.","Time","Source","Destination","Protocol","Length","Source Port","Message Identifier","Destination Port","Info"
"878","44.878435637","130.185.238.170","192.168.15.8","MQTT","336","1883","","58693","Publish Message [devices-2]"
"880","44.954234896","130.185.238.170","192.168.15.8","MQTT","70","1883","10","58693","Publish Ack (id=10)"
"886","45.055983137","192.168.15.8","130.185.238.170","MQTT","338","55567","8","1883","Publish Message (id=8) [devices-5]"
"887","45.133158427","130.185.238.170","192.168.15.8","MQTT","336","1883","","55567","Publish Message [devices-5]"
"889","45.208607292","130.185.238.170","192.168.15.8","MQTT","70","1883","8","55567","Publish Ack (id=8)"
"896","46.309743576","192.168.15.8","130.185.238.170","MQTT","338","45035","10","1883","Publish Message (id=10) [devices-3]"
"897","46.317156717","192.168.15.8","130.185.238.170","MQTT","338","55567","9","1883","Publish Message (id=9) [devices-5]"
"898","46.388685122","130.185.238.170","192.168.15.8","MQTT","336","1883","","45035","Publish Message [devices-3]"
"900","46.392751344","130.185.238.170","192.168.15.8","MQTT","336","1883","","55567","Publish Message [devices-5]"
"902","46.464739703","130.185.238.170","192.168.15.8","MQTT","70","1883","10","45035","Publish Ack (id=10)"
"904","46.468644093","130.185.238.170","192.168.15.8","MQTT","70","1883","9","55567","Publish Ack (id=9)"
"910","47.164761924","192.168.15.8","130.185.238.170","MQTT","338","59943","8","1883","Publish Message (id=8) [devices-4]"
"913","47.241065996","130.185.238.170","192.168.15.8","MQTT","336","1883","","59943","Publish Message [devices-4]"
"917","47.316259020","130.185.238.170","192.168.15.8","MQTT","70","1883","8","59943","Publish Ack (id=8)"
"960","48.902155269","192.168.15.8","130.185.238.170","MQTT","338","45035","11","1883","Publish Message (id=11) [devices-3]"
"961","48.981329434","130.185.238.170","192.168.15.8","MQTT","336","1883","","45035","Publish Message [devices-3]"
"963","48.991199092","192.168.15.8","130.185.238.170","MQTT","338","55897","9","1883","Publish Message (id=9) [devices-1]"
"964","49.027826845","192.168.15.8","130.185.238.170","MQTT","338","59943","9","1883","Publish Message (id=9) [devices-4]"
"965","49.056729488","130.185.238.170","192.168.15.8","MQTT","70","1883","11","45035","Publish Ack (id=11)"
"967","49.071864611","130.185.238.170","192.168.15.8","MQTT","336","1883","","55897","Publish Message [devices-1]"
"969","49.106209313","130.185.238.170","192.168.15.8","MQTT","336","1883","","59943","Publish Message [devices-4]"
"971","49.151639920","130.185.238.170","192.168.15.8","MQTT","70","1883","9","55897","Publish Ack (id=9)"
"973","49.184788582","130.185.238.170","192.168.15.8","MQTT","70","1883","9","59943","Publish Ack (id=9)"
"987","50.704106781","192.168.15.8","130.185.238.170","MQTT","338","58693","11","1883","Publish Message (id=11) [devices-2]"
"990","50.778572570","130.185.238.170","192.168.15.8","MQTT","336","1883","","58693","Publish Message [devices-2]"
"996","50.854324371","130.185.238.170","192.168.15.8","MQTT","70","1883","11","58693","Publish Ack (id=11)"
"1003","51.566328671","192.168.15.8","130.185.238.170","MQTT","338","59943","10","1883","Publish Message (id=10) [devices-4]"
"1009","51.644766690","130.185.238.170","192.168.15.8","MQTT","336","1883","","59943","Publish Message [devices-4]"
"1011","51.720751608","130.185.238.170","192.168.15.8","MQTT","70","1883","10","59943","Publish Ack (id=10)"
"1013","51.992381945","192.168.15.8","130.185.238.170","MQTT","338","45035","12","1883","Publish Message (id=12) [devices-3]"
"1014","52.026026779","192.168.15.8","130.185.238.170","MQTT","338","55567","10","1883","Publish Message (id=10) [devices-5]"
"1015","52.068792897","130.185.238.170","192.168.15.8","MQTT","336","1883","","45035","Publish Message [devices-3]"
"1017","52.104813528","130.185.238.170","192.168.15.8","MQTT","336","1883","","55567","Publish Message [devices-5]"
"1019","52.144795712","130.185.238.170","192.168.15.8","MQTT","70","1883","12","45035","Publish Ack (id=12)"
"1021","52.180661357","130.185.238.170","192.168.15.8","MQTT","70","1883","10","55567","Publish Ack (id=10)"
"1023","52.260511578","192.168.15.8","130.185.238.170","MQTT","338","55897","10","1883","Publish Message (id=10) [devices-1]"
"1024","52.339902841","130.185.238.170","192.168.15.8","MQTT","336","1883","","55897","Publish Message [devices-1]"
"1028","52.419609431","130.185.238.170","192.168.15.8","MQTT","70","1883","10","55897","Publish Ack (id=10)"
"1064","54.662810004","192.168.15.8","130.185.238.170","MQTT","338","58693","12","1883","Publish Message (id=12) [devices-2]"
"1065","54.722624117","192.168.15.8","130.185.238.170","MQTT","338","45035","13","1883","Publish Message (id=13) [devices-3]"
"1066","54.738409220","130.185.238.170","192.168.15.8","MQTT","336","1883","","58693","Publish Message [devices-2]"
"1072","54.801188551","130.185.238.170","192.168.15.8","MQTT","336","1883","","45035","Publish Message [devices-3]"
"1075","54.814237969","130.185.238.170","192.168.15.8","MQTT","70","1883","12","58693","Publish Ack (id=12)"
"1077","54.836180025","192.168.15.8","130.185.238.170","MQTT","338","55897","11","1883","Publish Message (id=11) [devices-1]"
"1078","54.876737655","130.185.238.170","192.168.15.8","MQTT","70","1883","13","45035","Publish Ack (id=13)"
"1080","54.915885331","130.185.238.170","192.168.15.8","MQTT","336","1883","","55897","Publish Message [devices-1]"
"1082","54.995589939","130.185.238.170","192.168.15.8","MQTT","70","1883","11","55897","Publish Ack (id=11)"
"1087","55.640588818","192.168.15.8","130.185.238.170","MQTT","338","59943","11","1883","Publish Message (id=11) [devices-4]"
"1088","55.716925858","130.185.238.170","192.168.15.8","MQTT","336","1883","","59943","Publish Message [devices-4]"
"1090","55.792793617","130.185.238.170","192.168.15.8","MQTT","70","1883","11","59943","Publish Ack (id=11)"
"1113","57.165464544","192.168.15.8","130.185.238.170","MQTT","338","55897","12","1883","Publish Message (id=12) [devices-1]"
"1114","57.243902600","130.185.238.170","192.168.15.8","MQTT","336","1883","","55897","Publish Message [devices-1]"
"1116","57.323693200","130.185.238.170","192.168.15.8","MQTT","70","1883","12","55897","Publish Ack (id=12)"
"1118","57.611132846","192.168.15.8","130.185.238.170","MQTT","338","55567","11","1883","Publish Message (id=11) [devices-5]"
"1119","57.688846040","130.185.238.170","192.168.15.8","MQTT","336","1883","","55567","Publish Message [devices-5]"
"1121","57.764639323","130.185.238.170","192.168.15.8","MQTT","70","1883","11","55567","Publish Ack (id=11)"
"1132","58.476657589","192.168.15.8","130.185.238.170","MQTT","338","59943","12","1883","Publish Message (id=12) [devices-4]"
"1133","58.552835971","130.185.238.170","192.168.15.8","MQTT","336","1883","","59943","Publish Message [devices-4]"
"1135","58.628797369","130.185.238.170","192.168.15.8","MQTT","70","1883","12","59943","Publish Ack (id=12)"
"1144","58.992475977","192.168.15.8","130.185.238.170","MQTT","338","58693","13","1883","Publish Message (id=13) [devices-2]"
"1145","59.066459884","130.185.238.170","192.168.15.8","MQTT","336","1883","","58693","Publish Message [devices-2]"
"1147","59.142235499","130.185.238.170","192.168.15.8","MQTT","70","1883","13","58693","Publish Ack (id=13)"
"1154","59.499068715","192.168.15.8","130.185.238.170","MQTT","338","45035","14","1883","Publish Message (id=14) [devices-3]"
"1155","59.576819124","130.185.238.170","192.168.15.8","MQTT","336","1883","","45035","Publish Message [devices-3]"
"1157","59.652592318","130.185.238.170","192.168.15.8","MQTT","70","1883","14","45035","Publish Ack (id=14)"
