"No.","Time","Source","Destination","Protocol","Length","Message Type","Destination Port","Source Port","Message","Message Identifier","Info"
"12584","615.588721347","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","48961","1883","7b276d657373616765273a202750774b4475574742564b4c643747386879696c456f7a53â\200\246","","Publish Message [devices-85fe57d3-0304-4b2d-85ec-93132ef051d7]"
"12586","615.600422769","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","48961","1883","","175","Publish Ack (id=175)"
"12588","615.929552304","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","59005","7b276d657373616765273a2027454f766f786254654c54684f4e49736f67506663455056â\200\246","161","Publish Message (id=161) [devices-b95e6802-9267-46dc-8faa-c8ec86b42e26]"
"12589","615.940389307","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","59005","1883","7b276d657373616765273a2027454f766f786254654c54684f4e49736f67506663455056â\200\246","","Publish Message [devices-b95e6802-9267-46dc-8faa-c8ec86b42e26]"
"12591","615.952082111","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","59005","1883","","161","Publish Ack (id=161)"
"12593","616.132337018","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","39299","7b276d657373616765273a20274336383667525277636b4875317835634f77456134666fâ\200\246","172","Publish Message (id=172) [devices-4075e2f4-7024-4263-ae05-f737afd0b351]"
"12594","616.143799516","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","39299","1883","7b276d657373616765273a20274336383667525277636b4875317835634f77456134666fâ\200\246","","Publish Message [devices-4075e2f4-7024-4263-ae05-f737afd0b351]"
"12596","616.155457023","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","39299","1883","","172","Publish Ack (id=172)"
"12598","616.274737181","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","49891","7b276d657373616765273a2027373566497835577847597669325a415050644172724d76â\200\246","172","Publish Message (id=172) [devices-86fe3fcd-4826-49b8-9f6d-9cc9cb5793d7]"
"12599","616.283916032","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","49891","1883","7b276d657373616765273a2027373566497835577847597669325a415050644172724d76â\200\246","","Publish Message [devices-86fe3fcd-4826-49b8-9f6d-9cc9cb5793d7]"
"12602","616.295325680","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","49891","1883","","172","Publish Ack (id=172)"
"12608","616.705695650","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","43243","7b276d657373616765273a20274d6a464d54746a3164736f49627942326b3954687a7a46â\200\246","172","Publish Message (id=172) [devices-7c810037-db0e-4371-9458-c52078ba9aba]"
"12609","616.715668616","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","43243","1883","7b276d657373616765273a20274d6a464d54746a3164736f49627942326b3954687a7a46â\200\246","","Publish Message [devices-7c810037-db0e-4371-9458-c52078ba9aba]"
"12611","616.727431382","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","43243","1883","","172","Publish Ack (id=172)"
"12613","616.892520193","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","33099","7b276d657373616765273a2027616f375752536d4535744f617a6a496c7a6a517a39364aâ\200\246","161","Publish Message (id=161) [devices-5c20c22c-46a6-4468-9311-3709d7a36f2a]"
"12614","616.903641715","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","33099","1883","7b276d657373616765273a2027616f375752536d4535744f617a6a496c7a6a517a39364aâ\200\246","","Publish Message [devices-5c20c22c-46a6-4468-9311-3709d7a36f2a]"
"12616","616.915392889","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","33099","1883","","161","Publish Ack (id=161)"
"12618","617.120036156","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","48975","7b276d657373616765273a2027396e785772446d617468794571644b6551627864585748â\200\246","174","Publish Message (id=174) [devices-3616bd97-1b2f-4db3-911f-7585a934b8f3]"
"12619","617.132116254","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","48975","1883","7b276d657373616765273a2027396e785772446d617468794571644b6551627864585748â\200\246","","Publish Message [devices-3616bd97-1b2f-4db3-911f-7585a934b8f3]"
"12621","617.144050215","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","48975","1883","","174","Publish Ack (id=174)"
